id,value,lo,hi,extra
M7mo5_adresso_gap,0.26016079828938,0.17731803503575208,0.3378850427461727,
M7mo5_adresso_probe_mean5,0.8752,,,mean of rounded per_repeat 0.875240
M7mo5_adresso_zeroshot,0.61503920171062,0.5432332651905852,0.6889640923339982,
M7mo5_adresso_single_gap_ref,0.2748396293656452,0.1919968661120173,0.3525638738224379,
M7mo5_adress2020_gap,0.18020401051939516,0.07221127792534941,0.28577523367246344,
M7mo5_adress2020_probe_mean5,0.8043,,,mean of rounded per_repeat 0.804300
M7mo5_adress2020_zeroshot,0.6240959894806049,0.5348478618421052,0.7148052262172812,
M7mo5_adress2020_single_gap_ref,0.1637080867850098,0.05571535419096406,0.2692793099380781,
M7mo5_pcgita_gap,0.33062231404958686,0.24886718034916866,0.41271227667470517,
M7mo5_pcgita_probe_mean5,0.8941,,,mean of rounded per_repeat 0.894120
M7mo5_pcgita_zeroshot,0.5634776859504131,0.4930640072309111,0.6330859923977538,
M7mo5_pcgita_single_gap_ref,0.34538677685950425,0.26363164315908605,0.42747673948462256,
M7mo5_neurovoz_gap,0.22621850462373683,0.17135572813278419,0.2835872616162635,
M7mo5_neurovoz_probe_mean5,0.9213,,,mean of rounded per_repeat 0.921300
M7mo5_neurovoz_zeroshot,0.6950814953762632,0.6355883997757804,0.7518676424825447,
M7mo5_neurovoz_single_gap_ref,0.2208910525049067,0.16602827601395406,0.2782598094974334,
M7mo5_kcl_gap,0.03631428571428574,-0.2074855547960809,0.26383701298701306,
M7mo5_kcl_probe_mean5,0.7506,,,mean of rounded per_repeat 0.750600
M7mo5_kcl_zeroshot,0.7142857142857143,0.520979020979021,0.8809565434565434,
M7mo5_kcl_single_gap_ref,0.06249999999999989,-0.18129984051036677,0.2900227272727272,
VAL_pitt_part10_exact,0.11280123982952339,0.04550149479611408,0.1768100605302148,
VAL_pitt_part10_shifted_repeat0,0.11280123982952339,0.04026047077375096,0.1824338934752765,
VAL_pitt_part10_shifted_repeat1,0.11280123982952339,0.03968869115087497,0.18050398269336748,
VAL_pitt_part10_shifted_repeat2,0.11280123982952339,0.04208557145651945,0.18326575602497097,
VAL_pitt_part10_shifted_repeat3,0.11280123982952339,0.0379835333741366,0.18520062249015848,
VAL_pitt_part10_shifted_repeat4,0.11280123982952339,0.04638356096303388,0.1798127392045023,
VAL_edaic300_T7b_exact,-0.2393649412788169,-0.3188292697258822,-0.15723986914309834,
VAL_edaic300_T7b_shifted_repeat0,-0.2393649412788169,-0.32901005259729904,-0.14053198628736022,
VAL_edaic300_T7b_shifted_repeat1,-0.2393649412788169,-0.33194184733648735,-0.1433810385007967,
VAL_edaic300_T7b_shifted_repeat2,-0.2393649412788169,-0.33170109423125055,-0.14126954399878225,
VAL_edaic300_T7b_shifted_repeat3,-0.2393649412788169,-0.3279978969861475,-0.15235704435025674,
VAL_edaic300_T7b_shifted_repeat4,-0.2393649412788169,-0.32434205663491184,-0.1547618337595962,
VAL_neurovoz_pod6_reextract_exact,0.22672413151410953,0.17421111833708722,0.2850649649145646,
VAL_neurovoz_pod6_reextract_shifted_single,0.22672413151410953,0.17232712678745266,0.2841218558933953,
VAL_adress2020_pod4b_reextract_exact,0.17827087442472067,0.0750032959789057,0.27704811507936494,
VAL_adress2020_pod4b_reextract_shifted_single,0.17827087442472067,0.07498409689576041,0.2823236200670476,
M11fix_B_xsys_disagree_mean_PD,0.30486958448042795,0.13007788549830193,0.4943539072690047,"all37 [0.1157, 0.5115]"
M11fix_B_xsys_disagree_mean_control,0.47785176847286887,0.09173726419132193,1.1478691384274342,"all37 [0.0814, 1.1692]"
M11fix_B_xsys_disagree_diff_PD_minus_control,-0.17298218399244092,-0.896917505555421,0.306022796985912,
M11fix_C_mean_token_logprob_mean_PD,-0.11028171112053287,-0.15016281370175527,-0.07391312054624177,"all37 [-0.1506, -0.0730]"
M11fix_C_mean_token_logprob_mean_control,-0.1356284206448241,-0.23449836797066775,-0.07586993288136105,"all37 [-0.2325, -0.0753]"
M11fix_C_mean_token_logprob_diff_PD_minus_control,0.025346709524291244,-0.053184939321136465,0.12880177014834518,
M11fix_C_compression_ratio_mean_PD,1.5937625496473014,1.4483669738873208,1.7268552754431281,"all37 [1.4471, 1.7433]"
M11fix_C_compression_ratio_mean_control,1.4897966333721055,1.3076211558004083,1.6416819534545566,"all37 [1.3121, 1.6422]"
M11fix_C_compression_ratio_diff_PD_minus_control,0.1039659162751958,-0.1036367627615459,0.34002645631060624,
M11fix_D_n_words_30s_mean_PD,59.1875,46.1875,71.9375,"all37 [46.1426, 73.5385]"
M11fix_D_n_words_30s_mean_control,55.80952380952381,43.04642857142858,67.6202380952381,"all37 [43.0521, 67.6530]"
M11fix_D_n_words_30s_diff_PD_minus_control,3.37797619047619,-13.821228448275862,22.569848484848485,
M11fix_F_wer_vs_local_copy_mean_PD,0.3123459947253204,0.19738346338531187,0.43883709885981054,"all37 [0.1943, 0.4487]"
M11fix_F_wer_vs_local_copy_mean_control,0.3986541424004451,0.25576023451693763,0.5576746280888631,"all37 [0.2578, 0.5627]"
M11fix_F_wer_vs_local_copy_diff_PD_minus_control,-0.08630814767512474,-0.2850606018973596,0.10472858588827075,
M11fix_B_xsys_disagree_MEDIAN_PD,0.10272536687631026,0.032258064516129,0.3617021276595745,"all37 [0.0323, 0.4799]"
M11fix_B_xsys_disagree_MEDIAN_control,0.0333333333333333,0.0,0.1341463414634146,"all37 [0.0000, 0.2088]"
M11fix_B_xsys_disagree_MEDIAN_diff_PD_minus_control,0.06939203354297696,-0.10081799355729405,0.4112388031255945,
M11fix_B_xsys_disagree_ge20w_MEAN_PD,0.21002952512048909,0.06711829973859391,0.38365662164220415,"all37 [0.0645, 0.3906]"
M11fix_B_xsys_disagree_ge20w_MEAN_control,0.15058159634883794,0.056176744003298786,0.26841077128860213,"all37 [0.0481, 0.2765]"
M11fix_B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control,0.05944792877165114,-0.13384256382334053,0.27069119965547306,
M11fix_B_xsys_disagree_POOLED_PD,0.26504751847940866,0.0781521712066132,0.47779104224875063,"all37 [0.0729, 0.4944]"
M11fix_B_xsys_disagree_POOLED_control,0.18003412969283278,0.06196658758693387,0.3635620236052802,"all37 [0.0595, 0.3764]"
M11fix_B_xsys_disagree_POOLED_diff_PD_minus_control,0.08501338878657588,-0.18703093487511707,0.3487659496082683,
