layer,auc_mean,auc_std,auc_oof
0,0.6891142520133917,0.02579040779681052,0.6896551724137931
1,0.6622851833152745,0.03777000340112967,0.6779930259589306
2,0.6648118103297707,0.03314394089878021,0.6787872917473847
3,0.6801351679871959,0.03900706660775794,0.6809569934134057
4,0.7002995882425325,0.026448902728554276,0.6937621077101898
5,0.7073299551851486,0.046383869553719224,0.7081170089112747
6,0.7090647033438139,0.039516089051101246,0.7118752421542037
7,0.7184261286501008,0.04198784347303586,0.7210189848895777
8,0.7550154955658845,0.04475380240712108,0.7650910499806276
9,0.7422012930959752,0.03610142253495573,0.7552305308020146
10,0.7646476791583305,0.04687042673202104,0.7786904300658659
11,0.7691266398119264,0.05347347153889657,0.7751646648585819
12,0.7679114583159264,0.05409974152147618,0.7696822936846184
13,0.7851434674505542,0.053011910726905274,0.7870980240216969
14,0.7771949637327168,0.04566363622624466,0.7829910887253002
15,0.7967723720168098,0.04682562890268414,0.7944207671445176
16,0.7977761903980607,0.04683268524933612,0.7967648198372723
17,0.7987717223265992,0.039444026756882036,0.7928516079039132
18,0.8075280160330974,0.04198158303290907,0.7975397132894227
19,0.8042320846624413,0.028298998312413184,0.7952537776055792
20,0.8006884959690813,0.02330488084244762,0.7902169701666021
21,0.808455033887084,0.020465155336832352,0.8061991476172026
22,0.8053768012930318,0.02331359423054723,0.799108872530027
23,0.8194389502353037,0.030499845735439107,0.8078070515304145
24,0.8130206978610541,0.0326678492836131,0.8030995738086013
25,0.8119189170330946,0.03072743020655598,0.8086206896551724
26,0.823471273360598,0.03306400655833854,0.8127082526152654
27,0.8377124643663187,0.023436032542106057,0.8273149941882991
28,0.8226471156174495,0.026033340509544336,0.8107903913211935
29,0.8065077851081112,0.03744726340607544,0.794556373498644
30,0.8159399668205495,0.044111742767027416,0.7979077876791941
31,0.8134372129126295,0.03822450725750861,0.8000387446726076
