stage,auc_mean,auc_std,auc_oof,ref_auc_mean,ref_auc_oof
0,0.6006511627906976,0.12040004378170159,0.5885892416992895,0.5994883720930232,0.5880092793968392
1,0.5761705426356589,0.09814605707168693,0.574597651152675,0.5750077519379845,0.5740176888502246
2,0.6368372093023256,0.08001104725118045,0.6274467159634624,0.6354496124031008,0.626359286646368
3,0.6043875968992247,0.09461386360416008,0.5980136291141076,0.6049922480620155,0.5972886762360446
4,0.6101472868217054,0.08557287200562962,0.6093953892996955,0.6113643410852714,0.6093228940118892
5,0.611984496124031,0.06015754809758619,0.6089604175728578,0.6117054263565892,0.6081629694069886
6,0.6073720930232558,0.05480916409216126,0.6039582427142236,0.6063720930232559,0.6035957662751922
7,0.5865968992248062,0.05275444349260687,0.5789473684210527,0.5866511627906977,0.5794548354356966
8,0.6003488372093024,0.05331984460758136,0.5967812092214007,0.6000697674418605,0.5958387704799188
9,0.6280852713178294,0.048771837631000674,0.6172248803827751,0.6255891472868218,0.616209946353487
10,0.6332403100775194,0.0497465338002832,0.6382485138466,0.6327984496124032,0.6370160939538929
11,0.623937984496124,0.03497787122270194,0.6217195882267652,0.6246589147286821,0.6229520081194722
12,0.6209147286821705,0.04804085930966832,0.6190372625779325,0.6180852713178294,0.616427432216906
13,0.6260232558139535,0.042690307471627706,0.6270842395244309,0.626798449612403,0.6269392489488184
14,0.6143023255813954,0.05698602466210866,0.6112802667826591,0.6126976744186047,0.610990285631434
15,0.6265038759689923,0.05348820581931239,0.6219370740901842,0.6263953488372094,0.6219370740901841
16,0.6496821705426357,0.058162798446512363,0.6452080614760041,0.6480775193798449,0.6443381180223285
17,0.6461860465116278,0.0591712367819361,0.6473829201101928,0.6481240310077518,0.6492677975931564
18,0.6821472868217053,0.03483030880761633,0.6765260258083224,0.6803720930232557,0.6757285776424532
19,0.6968527131782946,0.05085244375046797,0.6911700739451936,0.6945813953488371,0.6895751776134552
20,0.6708914728682169,0.06102461278191269,0.6665216760910541,0.6708372093023256,0.667246628969117
21,0.6934031007751937,0.06471694829355368,0.6921850079744817,0.6906279069767443,0.6892127011744236
22,0.6826124031007752,0.06423246458482056,0.6813107148035378,0.6820542635658915,0.6805132666376685
23,0.6708992248062015,0.06381282345825232,0.6717413368131071,0.6733410852713179,0.672683775554589
24,0.6729767441860466,0.0809875921652847,0.6736262142960707,0.6736976744186045,0.673191242569233
25,0.6569689922480619,0.07459346543116861,0.6616644918080324,0.6561937984496125,0.6627519211251268
26,0.6332248062015504,0.09881580677224061,0.6359286646367986,0.6328914728682171,0.635276207046542
27,0.6225503875968992,0.11436968345553959,0.6292590981586197,0.6224961240310078,0.6281716688415253
28,0.6129844961240309,0.09384355376571371,0.6140350877192983,0.6122635658914729,0.6140350877192982
29,0.603798449612403,0.08264076732759518,0.6056256343337683,0.6057984496124031,0.6064955777874439
30,0.5662403100775194,0.11682464773072854,0.568870523415978,0.566015503875969,0.5683630564013339
31,0.6233875968992248,0.1205887735427681,0.6172248803827751,0.6231627906976744,0.6180948238364506
