stage,auc_mean,auc_std,auc_oof
0,0.6072093023255813,0.037970603376164015,0.5926489778164419
1,0.6303255813953488,0.04012689894259054,0.614470059446136
2,0.625062015503876,0.03665546807699383,0.6105553139045963
3,0.6293255813953488,0.036653877835926635,0.6235319704219225
4,0.6415813953488373,0.024866489239982564,0.63179643323184
5,0.6401860465116279,0.027338244358244175,0.6275917065390749
6,0.6291705426356589,0.029841211885700682,0.6169348992315499
7,0.6267364341085271,0.054682394726376385,0.6171523850949688
8,0.6420697674418604,0.05032507510480065,0.6317239379440336
9,0.6305038759689923,0.06169485905386168,0.6215021023633464
10,0.6686201550387596,0.03813560829349218,0.6694214876033059
11,0.6968837209302325,0.07331033039753822,0.6963172393794403
12,0.6941705426356588,0.06790693072810021,0.6968972016818907
13,0.7050232558139535,0.06581555864040883,0.703421777584457
14,0.7036434108527131,0.059916132319139274,0.7085689430187039
15,0.7123875968992247,0.058661131062896076,0.7135711178773381
16,0.7140542635658915,0.04210198485556609,0.7167609105408149
17,0.7120542635658915,0.04805685143549915,0.7080614760040597
18,0.7013100775193798,0.057247683602114637,0.6972596781209222
19,0.6991550387596899,0.06613738153256005,0.7040017398869074
20,0.6955038759689922,0.07489094288445186,0.695229810062346
21,0.677186046511628,0.0798396084605998,0.6813107148035378
22,0.6736356589147285,0.06837525876409557,0.677395969261998
23,0.6882170542635658,0.06285608137585039,0.6877627954182978
24,0.6892713178294574,0.047618751138689165,0.6857329273597216
25,0.6804418604651162,0.05448856784868133,0.6751486153400029
26,0.6734418604651162,0.07178714137118164,0.6703639263447876
27,0.6781550387596899,0.07155021374499107,0.6739886907351021
28,0.6771007751937984,0.0772348514746728,0.676888502247354
