figure,source,dataset,stream,layer,value,reference,absdiff
fig1_gap_whole,Line2D arrays,PC-GITA,llm,28,0.8547206611570247,0.8547206611570247,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,0,0.6840759395583107,0.6840759395583107,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,1,0.6720747772181325,0.6720747772181325,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,2,0.6517241379310345,0.6517241379310345,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,3,0.6644808213870592,0.6644808213870592,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,4,0.6738086013173189,0.6738086013173189,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,5,0.6854901201084851,0.6854901201084851,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,6,0.689984502130957,0.689984502130957,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,7,0.7176191398682681,0.7176191398682681,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,8,0.7318868655559859,0.7318868655559859,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,9,0.7132894227043781,0.7132894227043781,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,10,0.7393645873692367,0.7393645873692367,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,11,0.7253196435490119,0.7253196435490119,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,12,0.716272762495157,0.716272762495157,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,13,0.7400426191398684,0.7400426191398684,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,14,0.7324874079814025,0.7324874079814025,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,15,0.7578845408756296,0.7578845408756296,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,16,0.7669314219294847,0.7669314219294847,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,17,0.7625726462611391,0.7625726462611391,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,18,0.7615652847733436,0.7615652847733436,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,19,0.7763948082138705,0.7763948082138705,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,20,0.7680550174351026,0.7680550174351026,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,21,0.7966485858194499,0.7966485858194499,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,22,0.7965710964742347,0.7965710964742347,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,23,0.803215807826424,0.803215807826424,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,24,0.7950406819062378,0.7950406819062378,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,25,0.7957962030220845,0.7957962030220845,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,26,0.7990023246803565,0.7990023246803565,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,27,0.808330104610616,0.808330104610616,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,28,0.7924351026733825,0.7924351026733825,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,29,0.7889771406431616,0.7889771406431616,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,30,0.7945757458349477,0.7945757458349477,0.0
fig1_gap_whole,Line2D arrays,Pitt,encoder,31,0.7908368849283224,0.7908368849283224,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,0,0.7668926772568772,0.7668926772568772,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,1,0.7728981015110423,0.7728981015110423,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,2,0.7745447500968616,0.7745447500968616,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,3,0.7930550174351028,0.7930550174351028,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,4,0.7911468423091825,0.7911468423091825,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,5,0.787504843084076,0.787504843084076,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,6,0.780453312669508,0.780453312669508,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,7,0.8045524990313832,0.8045524990313832,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,8,0.8097345989926384,0.8097345989926384,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,9,0.831722200697404,0.831722200697404,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,10,0.8318287485470747,0.8318287485470747,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,11,0.830453312669508,0.830453312669508,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,12,0.8291747384734598,0.8291747384734598,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,13,0.8225106547849672,0.8225106547849672,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,14,0.8135025184037196,0.8135025184037196,0.0
fig1_gap_whole,Line2D arrays,Pitt,llm,15,0.8058310732274312,0.8058310732274312,0.0
